brand,model,generation,production_start,production_end,body_type,provider
"AERO PRECISION METAL WORKS LLC","BOARD AND TRACK","","","","","nhtsa-vpic"
"AERO PRECISION METAL WORKS LLC","BOBBER","","","","","nhtsa-vpic"
"AERO PRECISION METAL WORKS LLC","CHOPPER","","","","","nhtsa-vpic"
"AEROPUP Trailers LLC","AEROPUP Trailers LLC","","","","","nhtsa-vpic"
"AEROTECH COATINGS LLC","AEROTECH COATINGS LLC","","","","","nhtsa-vpic"
"AEROTEK","RAINBOW","","","","","nhtsa-vpic"
"AFAB Petroleum Equipment & Steel Fabrication","AFAB Petroleum Equipment & Steel Fabrication","","","","","nhtsa-vpic"
"AFC Company","AFC Company","","","","","nhtsa-vpic"
"AFCR","AFCR","","","","","nhtsa-vpic"
"AFTER-MARKET SPECIALTIES","AFTER-MARKET SPECIALTIES","","","","","nhtsa-vpic"
"AG Dryer Services Inc.","AG Dryer Services Inc.","","","","","nhtsa-vpic"
"AG Industrial, Inc","AG Industrial, Inc","","","","","nhtsa-vpic"
"AG Shield Manufacturing","AG Shield Manufacturing","","","","","nhtsa-vpic"
"AG Works International","AG Works International","","","","","nhtsa-vpic"
"AG-Quip, Inc.","AG-Quip, Inc.","","","","","nhtsa-vpic"
"AG. BELT TRAILER","AG. BELT TRAILER","","","","","nhtsa-vpic"
"AGA Gas Central, Inc","Utility Trailer","","","","","nhtsa-vpic"
"AGAMS, CO. LTD","AGAMS, CO. LTD","","","","","nhtsa-vpic"
"AGAZU","AGAZU","","","","","nhtsa-vpic"
"AGB","AGB","","","","","nhtsa-vpic"
"AGC LSV's","AGC LSV's","","","","","nhtsa-vpic"
"AHGO FOOD TRAILERS","AHGO FOOD TRAILERS","","","","","nhtsa-vpic"
"AHS Trailers","AHS Trailers","","","","","nhtsa-vpic"
"AI Trailers","AI Trailers","","","","","nhtsa-vpic"
"AIM Trailers","AIM Trailers","","","","","nhtsa-vpic"
"AIR EASY LLC DBA AVENTURA-X","EV2000","","","","","nhtsa-vpic"
"AIRLITE TRAILERS, LLC","AIRLITE TRAILERS, LLC","","","","","nhtsa-vpic"
"AIRSTREAM","70th Anniversary Model","","","","","nhtsa-vpic"
"AIRSTREAM","75th Anniversary Model","","","","","nhtsa-vpic"
"AIRSTREAM","Argosy","","","","","nhtsa-vpic"
"AIRSTREAM","Audiometric Unit","","","","","nhtsa-vpic"
"AIRSTREAM","Australian Export","","","","","nhtsa-vpic"
"AIRSTREAM","B-Van","","","","","nhtsa-vpic"
"AIRSTREAM","Bambi","","","","","nhtsa-vpic"
"AIRSTREAM","Bambi / Caravel","","","","","nhtsa-vpic"
"AIRSTREAM","Base Camp","","","","","nhtsa-vpic"
"AIRSTREAM","Bus Type Motorhome","","","","","nhtsa-vpic"
"AIRSTREAM","C-Body","","","","","nhtsa-vpic"
"AIRSTREAM","Caravelle","","","","","nhtsa-vpic"
"AIRSTREAM","China Export","","","","","nhtsa-vpic"
"AIRSTREAM","Classic","","","","","nhtsa-vpic"
"AIRSTREAM","Commercial","","","","","nhtsa-vpic"
"AIRSTREAM","Euro Bambi","","","","","nhtsa-vpic"
"AIRSTREAM","Excella","","","","","nhtsa-vpic"
"AIRSTREAM","Flying Cloud","","","","","nhtsa-vpic"
"AIRSTREAM","Funeral Coach","","","","","nhtsa-vpic"
"AIRSTREAM","Globetrotter","","","","","nhtsa-vpic"
"AIRSTREAM","Integrity 5th Wheel","","","","","nhtsa-vpic"
"AIRSTREAM","International","","","","","nhtsa-vpic"
"AIRSTREAM","International Export","","","","","nhtsa-vpic"
"AIRSTREAM","Interstate Van","","","","","nhtsa-vpic"
"AIRSTREAM","Korean Export","","","","","nhtsa-vpic"
"AIRSTREAM","Land Yacht","","","","","nhtsa-vpic"
"AIRSTREAM","Lightweight Concept","","","","","nhtsa-vpic"
"AIRSTREAM","Limited","","","","","nhtsa-vpic"
"AIRSTREAM","Minuet","","","","","nhtsa-vpic"
"AIRSTREAM","Motorhome","","","","","nhtsa-vpic"
"AIRSTREAM","Motorhome, Front Diesel Engine","","","","","nhtsa-vpic"
"AIRSTREAM","Nest","","","","","nhtsa-vpic"
"AIRSTREAM","Pan America","","","","","nhtsa-vpic"
"AIRSTREAM","Parkway","","","","","nhtsa-vpic"
"AIRSTREAM","Safari","","","","","nhtsa-vpic"
"AIRSTREAM","Safari Export","","","","","nhtsa-vpic"
"AIRSTREAM","Safari Sport","","","","","nhtsa-vpic"
"AIRSTREAM","Soveriegn","","","","","nhtsa-vpic"
"AIRSTREAM","Sport","","","","","nhtsa-vpic"
"AIRSTREAM","Tradewind","","","","","nhtsa-vpic"
"AIRSTREAM","Transporter","","","","","nhtsa-vpic"
"AIRSTREAM","Westfalia","","","","","nhtsa-vpic"
"AIRY","AIRY","","","","","nhtsa-vpic"
"AJ'S","AJ'S","","","","","nhtsa-vpic"
"AJAX TOCCO MAGNETHERMIC CORPORATION","AJAX TOCCO MAGNETHERMIC CORPORATION","","","","","nhtsa-vpic"
"AJAX TRAILERS, INC","AJAX TRAILERS","","","","","nhtsa-vpic"
"AJR Inc.","AJR Inc.","","","","","nhtsa-vpic"
"AKY","AKY","","","","","nhtsa-vpic"
"ALASKA SEA KING","ALASKA SEA KING","","","","","nhtsa-vpic"
"ALC Manufacturing","ALC Manufacturing","","","","","nhtsa-vpic"
"ALCAN TRAVELER, INC","Alcan Traveler Inc.","","","","","nhtsa-vpic"
"ALCAN TRAVELER, INC","Tent/Sleeper","","","","","nhtsa-vpic"
"ALCAN TRAVELER, INC","Van/Cargo","","","","","nhtsa-vpic"
"ALCANTAR CUSTOM TRAILERS","ALCANTAR CUSTOM TRAILERS","","","","","nhtsa-vpic"
"ALCC","ALCC","","","","","nhtsa-vpic"
"ALCT","ALCT","","","","","nhtsa-vpic"
"ALEWINE MOTORS, INC.","ALEWINE MOTORS, INC.","","","","","nhtsa-vpic"
"ALIEN ATV","B01","","","","","nhtsa-vpic"
"ALIEN ATV","C06","","","","","nhtsa-vpic"
"ALIEN ATV","HB1","","","","","nhtsa-vpic"
"ALIEN ATV","HR10","","","","","nhtsa-vpic"
"ALIEN ATV","HR2","","","","","nhtsa-vpic"
"ALIEN ATV","HR4","","","","","nhtsa-vpic"
"ALIEN ATV","HR7","","","","","nhtsa-vpic"
"ALIEN ATV","HR8","","","","","nhtsa-vpic"
"ALIEN ATV","HR9","","","","","nhtsa-vpic"
"ALIEN ATV","HS1","","","","","nhtsa-vpic"
"ALIEN ATV","HS2","","","","","nhtsa-vpic"
"ALIEN ATV","HS6","","","","","nhtsa-vpic"
"ALIEN ATV","HT5","","","","","nhtsa-vpic"
"ALIEN ATV","KH01","","","","","nhtsa-vpic"
"ALIEN ATV","MH3","","","","","nhtsa-vpic"
"ALIEN ATV","MH6","","","","","nhtsa-vpic"
"ALIEN ATV","MX06","","","","","nhtsa-vpic"
"ALIEN ATV","MX09","","","","","nhtsa-vpic"
"ALIEN ATV","MX10","","","","","nhtsa-vpic"
"ALIEN ATV","NC05","","","","","nhtsa-vpic"
"ALIEN ATV","NC09","","","","","nhtsa-vpic"
"ALIEN ATV","Q01","","","","","nhtsa-vpic"
"ALIEN ATV","Q05","","","","","nhtsa-vpic"
"ALKO","ALKO","","","","","nhtsa-vpic"
"ALL AMERICAN CUSTOM","ALL AMERICAN CUSTOM","","","","","nhtsa-vpic"
"ALL CUSTOM","ALL CUSTOM","","","","","nhtsa-vpic"
"ALL GATES AZ","ALL GATES AZ","","","","","nhtsa-vpic"
"ALL GOOD EQUIPMENT","ALL GOOD EQUIPMENT","","","","","nhtsa-vpic"
"ALL IN ONE CUSTOM FABRICATION & DESIGN","ALL IN ONE CUSTOM FABRICATION & DESIGN","","","","","nhtsa-vpic"
"ALL STAR TRAILERS FABRICATION","ALL STAR TRAILERS FABRICATION","","","","","nhtsa-vpic"
"ALL STATE","ALL STATE","","","","","nhtsa-vpic"
"ALL-EQUIP REPAIR & SERVICE LTD.","ALL-EQUIP REPAIR & SERVICE LTD.","","","","","nhtsa-vpic"
"ALL-IN-ONE Products","ALL-IN-ONE Products","","","","","nhtsa-vpic"
"ALLARD MOTOR WORKS","J2X","","","","","nhtsa-vpic"
"ALLEN'S MFG INC.","ALLEN'S MFG INC.","","","","","nhtsa-vpic"
"ALLISON DUMP BODIES & TRAILERS","ALLISON DUMP BODIES & TRAILERS","","","","","nhtsa-vpic"
"ALLOUTHUNTING","ALLOUTHUNTING","","","","","nhtsa-vpic"
"ALLURE TRAILERS","ALLURE TRAILERS","","","","","nhtsa-vpic"
"ALMAR MANUFACTURING","ALMAR MANUFACTURING","","","","","nhtsa-vpic"
"ALPACAMPER","ALPACAMPER","","","","","nhtsa-vpic"
"ALPINE WELDING & FABRICATION INC","ALPINE WELDING & FABRICATION INC TRAILER","","","","","nhtsa-vpic"
"ALTA","REDSHIFT","","","","","nhtsa-vpic"
"ALTAMONT TECHNOLOGIES, INC","ALTAMONT TECHNOLOGIES, INC","","","","","nhtsa-vpic"
"ALUM-A-FAB INC.","ALUM-A-FAB INC.","","","","","nhtsa-vpic"
"ALUMINA TRAILERS","ALUMINA TRAILERS","","","","","nhtsa-vpic"
